index,S. No.,text,task_1
2211,2212,দিল্লীৰ মুখ্যমন্ত্ৰী অৰবিন্দ কেজৰিয়াল অসমলৈ উন্নয়ন চাবলৈ শিকিবলৈ আহিম বুলি কৈছে,NOT
2212,2213,মা দেউতাকৰ পিছতে মোৰ জীৱনত জুবিন দাৰ আপোন,NOT
2213,2214,পংকজ পাথকক সমৰ্থন কৰা কেইটা ক'ত গ'ল। কিবা এখাৰ কওক।,NOT
2214,2215,নিজৰ ভৰি- হাতৰ আঙুলি কামুৰি চিকেন বুলি খা সোৱাদ পাবি,HOF
2215,2216,"কাপোৰ জোৰ দেখিছেনে নাই, বোৱাৰী যেন লাগিছে জানো মৰতী জনী 🤣🤣🤣",HOF
2216,2217,ঠিকে কৈছে...... আমি মানু্হ বোৰে পাহৰি যাওঁ। আমি পইছা পালে হল পাহৰি যোৱাত অসমীয়া ১ নম্বৰ।,HOF
2217,2218,শুকুৰৰ দেউতা -কেইটা নিজে নাজানে ।,HOF
2218,2219,"বাইদেউৰ আন্দৰ পেন তু দামি যেন পাও , ",HOF
2219,2220,"প্ৰতিবাদ কৰাৰ কাৰনেই ১৯৫৫ত Hindu marriage act খন reform কৰি মাত্ৰ এজনী ঘৈনী থকাতো কৰিলে নহলে ১৯৫৫'ৰ আগত এজন হিন্দু পতিয়ে ১০০০জনী আনিব পাৰে ,",NOT
2220,2221,"তেখেতৰ স্পষ্টিকৰন শুনিলে গম পাব যে , concept টো ভাল ৷",NOT
2221,2222,কোনো ডাঙৰ কথা নহয় কোনো ধুৱা তুলসী ৰ পাত নহয়,HOF
2222,2223,থানাত হাজাৰ এজাহাৰ দিলেও কাম নহ'ব কাৰণ টো নকলোঁ,NOT
2224,2225,আপোনালোকে চাকৰিৰ বিজ্ঞাপন হে উলিয়াই কিন্তু সেইবোৰ পূৰণ নকৰে,NOT
2225,2226,তুৰ হে ইবেচি লেভেল হোইচে নিজোৰ চেনেল আচে বুলি মানুহ চিনি নেপাউ... হেকেন কোবো নলেজ নহোই একে লগট গইচো ... আজি জেনেকে উথিচো ... হাংকলে নামিবি টই .. মোনোট থইড,HOF
2226,2227,পশ্চিম বংগত মিঞাই ঘৰ দুৱাৰ ভাঙি কিমান জীয়ৰী বোৱাৰী ধৰ্ষন কৰিলে ।,HOF
2227,2228,তাইৰ 2 লাখ মানুহ আছিল বাবে তেনেকৈ কৈ পইচা জমা কৰিব বিচাৰিছিল আমি বোৰে কি কৰিলোঁ হয়।,HOF
2228,2229,সমূজৃলদা আছুৰ পৰা অবসৰ লব বুলি কৈৱে আছে,NOT
2229,2230,কি জহৰা সাংবাদিক,HOF
2230,2231,জ্বলায় দে বনৰী ক 🔥,HOF
2231,2232,"যিমানে ভন্দ হব, যিমাপে বেলগ ধৰ্মক বেয়া সমলোছনা কৰিব সিমানে গৌৰব কৰা ভক্ত আছে কি আছৰিত।",NOT
2232,2233,"কথিত আছে নহয়"" মৰম দিলে মৰম পায়।"" ",NOT
2233,2234,দেৱী দুৰ্গাৰ সাজটোও মেখেলা চাদৰলৈ পৰিবৰ্তিত কৰিলে ভাল লাগিব,NOT
2234,2235,আমাৰ গাৱৰ পাগলী এজনীয়ে এনেকৈয়ে তলা ওলমাই ঘুৰি ফুৰিছিল।,HOF
2237,2238,অসমৰ নং.1.ফিউজ লাইভ চেনেল.apni goli me kutta ve sher hota hai. Dom ase judi nitumoni ডাঙৰীয়াৰ আগত interview de sun.,HOF
2238,2239,"লক ডাউনত মানুহ মৰছি খাবা নাপে,তুহু আৰো বাহুল্য কৰি আছা",HOF
2239,2240,ইয়াক অতি সোনকালে গ্ৰেপ্তাৰ কৰি উচিত শাস্তি দিয়ক,HOF
2240,2241,বৰ মৰ্মান্তিক ঘটনা ৷ খ্ৰীষ্টিয়ান ধৰ্মালম্বীক নি:শেষ কৰাৰ ষড়যন্ত্ৰ ৷ দোষীক কঠোৰ শাস্তি বিহিব লাগে ৷,HOF
2243,2244,আইমি আইতা তুমিয়েই জুই তোমাৰ কথা আমি শুনিম ভাবিছা নেকি,HOF
2245,2246,তাতে এই সাংবাদিকজনেও চাগে চাঞ্চ নোলোৱাকৈ থকা নাই ।,NOT
2247,2248,এইবিলাকক উচিত শাস্তি দিয়ক,HOF
2248,2249,কল্পনা পাটোৱাৰী অসমৰ পৰা বাহিৰত গৈ অসমীয়া ভাষাৰ গান গাই পাপনে গাই সেইবোৰত অসমীয়া ভাষাকেই বুজি নাপায় তথাপিও  তাত কিন্তু এইবোৰ নীতি নিৰ্দেশনা নাই।,NOT
2249,2250,ইহঁতৰ ক্ষমতা আৰু টকাই সৰ্বস্ব।,HOF
2250,2251,খিলঞ্জীয়া আৰু ভূমিপুত্ৰক এই প্ৰশ্ন কৰিবলৈ তহঁতে কত সা পালি.,NOT
2251,2252,আৰু অলপ ধুব লাগিছিলে। ভালদৰে চাফা হোৱাই নাই,HOF
2253,2254,এনেকৈ এ সমাজ জহন্নামে গৈ আছে....,NOT
2254,2255,মাজা লাগিলে পাই ভাল কে বজালা,HOF
2255,2256,কোনটো মন্দিৰত চাকি দিলে মৰিব ই,HOF
2256,2257,বেমাৰ হলে বেলেগ কথা মক্কেল 🤣🤣🤣,HOF
2257,2258,সিহঁত মানুহ নহয় কাৰণ মানুহৰ মাজত ইমান নিষ্ঠুৰতা লুকাই নাথাকে,HOF
2258,2259,বৌম বনাও বৌম😂😂,HOF
2259,2260,নিউটন আমাৰ নামনিৰ আছিলে,NOT
2260,2261,"মই নিজে এজন বঙালী সাম্প্ৰদায়ৰ মানুহ,  তথাপিও আমি CAA ৰ আমি বিৰোধিতা কৰিছো।অসমৰ স্বাৰ্থত।",NOT
2261,2262,কোন ও এইজনি,NOT
2264,2265,আমাৰ ইয়াত ও কিছুমান ইস্কুলৰ অৱস্থা বহুত ভাল অন্য সাতে দিল্লীৰ হল ভাৰতৰ ৰাজধানী ।,NOT
2265,2266,কি দেখাব বিচাৰিছে বা মই চোন বেলেগ হে দেখিছোঁ।🙄,NOT
2266,2267,এনেকুৱা  নৰপিশাচ বোৰক  কেলা  লিংগ চেদ কৰি মাৰি পেলাব লাগে,HOF
2268,2269,toi nomora kiy সিহঁতে উপায়হীন হৈ এনেকৈ যাত্রা কৰিব লগা হৈছে,HOF
2270,2271,কেজৰিৱাল এজন অতি সফল মুখ্যমন্ত্ৰী I,NOT
2271,2272,অ এয়া আমাৰ হিন্দু ভাই দেখোন,HOF
2272,2273,পৃথিৱীৰ সকলোতকৈ গৰীব মানুহ উৰ্ফি,HOF
2273,2274,আও এইবাৰ চিমেণ্ট লৈও লাগিল হিন্দু মুছলমান,NOT
2274,2275,নাটক খন ভাল লাগিলে,HOF
2275,2276,"বৃহত্তৰ সমাজৰ মানসিকতাৰ সলনি নোহোৱালৈ এনেধৰণৰ মন্তব্য পাইয়ে থাকিম , গতিকে এইবিলাক শ্বেয়াৰ কৰি একো লাভ নাই। ",NOT
2276,2277,ধেনা মাখি শব্দ হে শুনিলোঁ,NOT
2277,2278,"অকল আইনে নহয় নিউজ চেনেল বোৰো বিক্ৰীৰ হল চৰকাৰৰ ওচৰত সব চৰকাৰৰ ফলীয়া হল,চৰকাৰে যি কৈয় খেইটোৱে হয়।",HOF
2278,2279,তোমাৰ ফুতনি মাৰি থাকোতে জীবন তোৰ জাব দাদা,HOF
2279,2280,অসুবিধা হৈছে মানি ললোঁ কিন্তু বেলেগ প্ৰকাৰে সমাধান কৰিব পৰিব লাগিছিল।।,NOT
2280,2281,কিন্তু বিধায়িকা বাইদেউ তথা পন্ঞায়ত কৰ্তৃপক্ষই গুৰুত্ব দিয়ে নে নাই সেয়া লক্ষ্যনীয়।,NOT
2281,2282,এইসকলৰ কিছুমানে দুইনমবৰী কৰি কিন্নৰ হয়,HOF
2282,2283,তই তো বেগম হয় যি কৰা কৰি থাক,NOT
2284,2285,মই বাহু বলি ৩ ট হিৰ ৰোল কৰিব মাতি আছে কিন্তু মই জোৱা নাই কাৰণ মই বৰ্তমান খেতিত হাল মাৰি আছো,NOT
2285,2286,আগতেও পঢ়িছো আজিও শেষ নকৰাকৈ নোৱাৰিলো,NOT
2286,2287,জেগাত ভোট জলকীয়া ঘুহি দিব লাগে তাইক...☺️কামুৰি আছেই কিজানি তাইক তাতে.....☺️☺️,HOF
2288,2289,"।পুৰুষ মানেই মহান,নাৰী মানেই এৰাল,ঢাকন...প্ৰয়োজন।মই এইবিলাক কথা কোৱা মানুহক মুখে মুখে উত্তৰ দি দিও।",NOT
2289,2290,পকৰ টো খাইচ,HOF
2290,2291,কহু লোকৰ মুৰত কঠাল ভাঙি খোৱা   সকলৰ দুদিনৰ  বাবে মুকা মিলিব,HOF
2292,2293,বিধায়কৰ ভিতৰত এইজন হৈছে একনাম্বাৰ bjp ৰ দালাল,HOF
2293,2294," দে আৰু খেল, best frnd-best frnd খেল !",NOT
2294,2295,সুন্দৰ অনুভৱ। আচলতে ওচৰৰ বিদ্যালয় খনত নিজকে জৰিত কৰাৰ এইটো এটা মাধ্যম।,NOT
2295,2296,মই তেলোভাৰত ভাৰ খন লম কিন্তু,HOF
2296,2297,"পিছে ""হাঁহিত"" ""ত""টো পিছত ""ইত"" হৈ উলাইছে।",NOT
2298,2299,স্বাৰ্থৰ বাবেই আজি উন্নতি অসম্ভৱ তথাপি শক্তি সকলোৰেই আছে,HOF
2299,2300,মজা দাদা,NOT
2301,2302,কুকুৰৰ মাঙস দিয়ক খাবলৈ,HOF
2302,2303,অৰ্থহিন ভিডিও মিছাকে বানাইছে  সাংবাদিকে  এয়া।,HOF
2303,2304,মুছলমান বিৰোধী মন্তব্য ই ঘনিষ্ঠ সম্পৰ্ক বি জে পি ৰ,HOF
2304,2305,পদক্ষেপটো ভালেই কিন্তু বাস্তৱত কাৰ্যকৰী কিমানদূৰ সম্ভৱ হব সেইটোহে গুৰুত্বপূৰ্ণ কথা,NOT
2305,2306,তাৰ পুকৰৰ ফুটা‌ কেলা ফালিম,HOF
2307,2308,"আছে হেংদাঙ লোৱা নাই, ললে হেংদাঙ ৰক্ষা নাই ।।। কথাষাৰ পাহৰি গ'ল ।।।।",HOF
2308,2309,যদি কিবা  দিবলগা আছে তেন্তে সেই গানটোৰ লগত জৰিত শিল্পী আৰু কলা কুশলী আছে,HOF
2309,2310,এবাৰ লগ কৰিব পালে  ভাল আছিল   কত পাম তাক।,NOT
2310,2311,প্ৰেম পবিত্ৰ হয় প্ৰকৃত প্ৰেমে সৰু ডাঙৰ একো চিনি নাপায় মুঠতে শান্তি প্ৰিয় ভাৱে চলি গলেই হ'ল দুখ কৰি লাভ নাই,NOT
2311,2312,বনৰী হয় তুমি মিয়াৰ লগত কাপ খাই থাকোঁতেই ধৰা পৰাৰ পিছত এতিয়া চকু পাণি,HOF
2312,2313,"একো নহয় , গোটেই ৰাতিত ৰিস্কচ্ লব পৰা শক্তি আছে ৷ ",HOF
2314,2315,অভিনেতি?,HOF
2316,2317,আপোনালোকে লিখা মতে এইবোৰ পিন্ধি তাই ভাইৰেল হৈছে ।,NOT
2318,2319,লাগিলে তেখেত হিমু মোমায়ে হওক বা  মোমাই তামূলী বৰবৰুৱাই হওক বা কোনোবা অসমীয়া জাতীয়তাবাদীৰ মুখা পিন্ধা দালালেই হওক |,HOF
2320,2321,নীচ শব্দৰো অপমান হব এই ঘটনাটোত,HOF
2321,2322," মুখা পিন্ধা ভদ্ৰ দেখাব আহিছে,",NOT
2322,2323,কীয়া জীয়াই আছো এ,NOT
2323,2324,।আমি অসমীয়া বুলি কি সকলো অসমীয়া কিতাপ নেকি হিন্দী ইংৰাজী সকলো কিয় থাকে।,NOT
2324,2325,বকী লাভ নাই ‌মাৰীব লাগে,HOF
2325,2326,তেল নথকা চাকি কেইটা অসমৰ মেইন মাল ভাল ধুইছা,HOF
2326,2327,অশ্লীল চিনেমা আৰু ফ’টোবোৰ কলৈ যাব ? ঘটি পোৱা ধনবোৰ দান কৰ ৷,HOF
2327,2328,কুকুৰ দাদা মজা,HOF
2329,2330,গৰমৰ দিনত ঘৰৰ বাহিৰলৈ ওলাই যাবলগীয়া হলে সদায় ছাতি লগত লৈ ওলাব আৰু পৰাপক্ষত পাতল ৰঙৰ কপাহী কাপোৰহে পৰিধান কৰিব I,NOT
2330,2331,পাগল হল য়েইকিতা,HOF
2332,2333,"আজিৰ পৰা ৬,৭  বছৰ আগতে যেতিয়া মই প্ৰথম  কলেজত গৈছিলোঁ তেতিয়া ৩ টকা গাড়ী ভাড়া আছিল আৰু এতিয়া ১০  টকা হৈছ",NOT
2333,2334,পাৰ্থনাতোঁ শুদ্ধকে গোৱা হেতেন ভাল লাগিল হয়।,NOT
2335,2336,মুছলমান হোৱা হয় কেতিয়াবাই গুলি খালে হয়,HOF
2336,2337,বৰ দুখৰ পালো,NOT
2337,2338,মন্ত্ৰী ডাঙৰীয়া আপুনি কি? সামান্যতম সালিনতা ৰাখিও কথা কব নাজানে আপুনি...ঘেন্টা মন্ত্ৰীৰ লেবেল দিছে..,HOF
2338,2339,এখেত কংগ্ৰেছ  ত যাবৰ হলেই।,NOT
2339,2340,সঁচাকে আবদ্ধ হৈ থাকিবলৈ দিয়ে যদি মোৰ লগৰ দুটামানে ঠেং দাঙি আছে ।😂😁😁😁,HOF
2341,2342,১ লাখ টকা,NOT
2343,2344,তোৰ স্থান খালত বা ডাছবিনতহে হব লাগে বুজিলি,HOF
2344,2345,অংক খিনি অলপ ভালকৈ শিকাই দিয়া তেতিয়া বনৰীয়ে নিশ্চয় বুজি পাব,HOF
2345,2346,আহ উজনিলৈ এবাৰ মাত এষাৰ দিবলৈ ।,NOT
2346,2347,অভদ্র পৰিয়ালৰ পৰা আৰু কি আশা কৰিব বিচাৰে।,HOF
2348,2349,অ দেহাটো বহুত ভাল খবৰ দিছা দে,NOT
2349,2350,শহুৰৰ ঘৰলৈ গলেও ভয়ছটো এনেকুৱাই নি ?,HOF
2350,2351,খালি vote আহিলে হিন্দু মুছলিম কৈ হিন্দু খিনিক 1গোট কৰি ভোট লব।,HOF
2351,2352,মা পইচা দিছে সন্তানক  এটো আকৌ  ফেচবুকত আপলুট কৰিব লাগে নেকি,NOT
2352,2353,হোৱাৰ কাৰনে কি কি কৰিব বাধ্য হৈছে এইটো।,HOF
2353,2354,কামটো কৰে তোৰ দৰে শয়তানে আৰু দোষটো জাপি দিয়ে ইছলাম ধৰ্মালম্বী মানুহৰ ওপৰত ।,HOF
2354,2355,আচলতে HBS এ কিবা কৰিব পাৰিছেনে ৰাইজ?,HOF
2357,2358,বন্ধু মই আছোঁ তোমাৰ লগত,NOT
2358,2359,তেখেতৰ ওচৰত হাজাৰ হাজাৰ জনতা আছে।,HOF
2359,2360,"থিক কথা এটা কইচে আপুনি আজি কালি বেছিভাগ ধষণ , ভুৱা ফেচবুকৰ প্ৰেম এইবোৰ ঘতনা প্ৰায়ে বাতৰি হিৰোনামা দখল কৰি আহিছে",HOF
2360,2361,"হাতে হাতে দা, কুঠাৰ, লাঠি আদি হঠিয়াৰ ধৰাই দিয়ক। ভেজাল নাইকীয়া হৈ যাব।",HOF
2361,2362,তুমিহে অলপ বেছি দেখালা।,NOT
2362,2363,বিজেপি জিন্দাবাদ,HOF
2363,2364,আপুনি ভালকৈ বুজাই দিয়া বাবে ধন্যবাদ । গাড়ী কেইখন আছে কেইখন জলালে ।,HOF
2364,2365," উৰফি জাবেদ তুমি স্কিন কালাৰৰ কাপোৰ পিন্ধিছা ঠিকেই কিন্তু সি সভ্য সমাজৰ পোশাক নহয়,",NOT
2365,2366,"খিলঞ্জীয়া ৰ সংজ্ঞা দিব নোৱাৰা আকৌ খিলঞ্জীয়া বুলি পৰিচয় দিয়ে, চি চি",HOF
2366,2367,কলৰ ভাৰৰ কল থোক মই দিম,HOF
2367,2368,বহুত বঢ়িয়া।,HOF
2368,2369,আগ কটাৰ মজা লবলৈ ইমান তললৈ গল ৰাম ৰাম এনেবোৰ মহিলাৰ বাবে আজি আমি সমাজত মুখ উলিয়াব পৰা নাই ।,HOF
2369,2370,দাদা আপোনাৰ ভিডিঅ' বিলাক বহুত ভাল লাগে,NOT
2370,2371,তাৰ ওচৰলৈ যোৱা মানুহ বোৰ বেছি পাগল,NOT
2371,2372,মাৰি এ দিও তোক,HOF
2372,2373,তহতৰ দৰে কিছুমান মুছলমানৰ কাৰণে ভাল কিছুমান মুছলমানে গালি খাই । এটা সমীক্ষা কৰি ছাবি চোন।,HOF
2374,2375,বিচাৰি বিচাৰি তোমাৰ ভিডিও চাও বহুত ভাল লাগে,NOT
2375,2376,"যদি এই বিৰ্তকিত বিধেয়কৰ জডিয়তে একোৱেই নহয় তেন্তে আপুনালোকৰ গলৰ যোৰহাটৰ বিধায়ক হিতেন্দ্র নাথ গোস্বামী ডাঙৰীয়াই কিয় বিৰোধিতা কৰিলে ,",NOT
2377,2378,কুকুৰ ছুদুৰ আলি তই নমৰ কিয় বাহানচুদ,HOF
2378,2379,পষ্টটোত লাইক এটা আৰু কমেন্ট এটা কৰি দিব প্লিজ 🙏,NOT
2379,2380,ই পাখৰী আমাৰ ফালে আহিলে ভূত জলকীয়াৰ পানীৰে ফিচকাৰী মাৰিলো হয়।,HOF
2380,2381,পাগল চব,HOF
2381,2382,ধেত কাম নাই,NOT
2382,2383,মই কৰিলে আকৌ কেলা মিঠাতেল লগাই হে কৰিম ছেট,HOF
2383,2384,খং উঠি গ ল,NOT
2385,2386,কিনো কম তোমাৰ কথা তুমি......... তুমি জুই,NOT
2389,2390,ইয়াক চৰত দাত ভাঙি দিয়কনা তাৰ দাতহে চাব নে মুখ হে চাব আহমেত দা ইয়াক কত লগ পুৱা য়াব,HOF
2390,2391,আপুনি চুমাটো নো কিয় খাব লাগে খুৰা,HOF
2391,2392,পৰিবেশ নষ্ট কৰি আছে ৷,NOT
2392,2393,গৰম চাহ এই সোৱাদৰ ভাগ নহয়,HOF
2393,2394,সচাঁ কথা কৈছা..কিন্তু ইংৰাজীত কোৱা খিনি একু বুজি নাপালোং ক 🤣🤣 অসমীয়া ত কব লাগে ক বাইদেউ,NOT
2395,2396,দীপক শৰ্মাই এনেকুৱা video ও বনাই নেকি??,HOF
2396,2397,"সিহঁত ""social servant"" হে। তাৰ বাহিৰে বেলেগ একো নহয়।",HOF
2397,2398,পিছে দিল্লীত একো কৰিব নোৱাৰা সকলে অসমত আহিনো কি কৰিব পাৰিব ?,HOF
2398,2399,"তুমি নিজে কিমান জানা,আনক নাহাঁহি বা,First time নিজে Clien হুৱা;",HOF
2399,2400,ধৰ্ষণ আৰু হত্যা দুয়োটা তে অপৰাধী,HOF
2400,2401,তাইক গোটেই জীৱন জেলত ভৰাই থলে ভাল হ'ব,HOF
2401,2402,পাপীজনীক বাৰে বাৰে কিয় দেখুৱাই,HOF
2402,2403,"ইহঁতৰ কাৰণে ফেচবুকত বিদেও এটা চাব নোৱাৰি ইমান বেয়া কাপোৰ পিন্ধি থাকেই ,",NOT
2403,2404,"বৰষা বাৰ দৰে এগৰাকী সম্ভ্ৰান্ত, জীৱনত তেও বহুতো ঘাত-প্ৰতিঘাত ৰ মাজেৰে, জীৱনত আগোৱাই গৈছে ,",NOT
2404,2405,"এইজনীক দেখিলে...ঘিন ঘিন লাগে,,",HOF
2405,2406,কাম কৰিব লাগিলে শৰ্মা ছাৰক লাগিব।কথা অনুযায়ী কাম।,NOT
2406,2407,ইয়াকে কয় আধাক দেখি উঠিল গা খেটখুৰীয়ে বোলে মোখো খা হয়,HOF
2407,2408,"আপুনি পপোলাৰ হওঁক ৰাইজৰ হত কাম কৰি, ",NOT
2408,2409,BJP ত যোৱাৰ পথ মুকলি কৰি থকা যেন হে লাগিল।,NOT
2410,2411,অসমত অসমীয়া হৈ সাহিতিক/কলা ব্যৱসায় কৰা তাৰকা সকললৈ এটি বিশেষ অনুৰোধ ...কাহিনী এটা উপস্থাপন কৰাৰ আগতে এশবাৰ ভাবি ল'ব কাৰোবাৰ অপকাৰ হব নেকি । কাৰণ অসমৰ প্ৰতিজন ভাল অসমীয়া অতি মৰমিয়াল আৰু দয়ালু ।,NOT
2411,2412,এইবিলাক বাদ দিয়ক আৰু,NOT
2414,2415,টেঙা নিদিবা তুমি জুই  তোমাৰ video চাই ভাল লাগে,NOT
2415,2416,আকৌ বোলে কৰবাত পুখুৰীত পৰি মৰিলি শুনিছিলো,HOF
2416,2417,যদি ভাৰতক জুৰাব আছে তেনে হলে পাকিস্তান যাওঁক পাকিস্তানে বেলেগ হৈছে ভাৰত তু জুৰি আছে আৰু কেনেকৈ যোৰাব,HOF
2418,2419,এইবিলাকৰ জীয়াই থকা কোনো অধিকাৰ নাই মই ভাবোঁ,HOF
2419,2420,কেমেৰাৰ সন্মুখত ʼদুৰ্নীতি মুক্তʼ অসম গঢ়াৰ ডায়ʼলগ মৰা ৰাজনৈতিক হিৰো আমি বহুত দেখিলো ।,NOT
2420,2421,"নিজৰ নিজৰ সামাজিক ৰীতি নীতি ধৰ্ম, সংস্কৃতিতেই থাকি চলিলেও দল সংগঠন সামুহিক স্বাৰ্থৰ খাতিৰত ‌হোৱা দৰকাৰ।",HOF
2421,2422,নহ'লে পৰিচয় হিয়াৰে,NOT
2423,2424,এইটো বুজি পোৱা নাই যে কৰ পৰা নিজকে এনেকুৱা কৰিবলে সুবিধা দিছে,HOF
2424,2425,Mr JSB কাষৰ তুক কিজানি ভাড়া কৰি আনিছে ....... আৰু  Doya Da আপোনাৰ  Video বোৰ চাই বহুত  ভাল লাগে .....,NOT
2425,2426,বাংলাভাষীক খেদিবলৈ সময় হ°ল অসমৰ পৰা,HOF
2426,2427,বনৰা কভি তই,HOF
2427,2428,আশাত চেচাপানি পৰা কাৰনে মুৰে কাম নকৰা হৈছে,NOT
2428,2429,কেজৰোৱাল সচাকৈয়ে শিক্ষিত আৰু জ্ঞানী ব্যক্তি তেওঁ সদায় গৰীৱৰ কথা কোৱাই নহয় কাম কৰিও দেখুৱাইছে।কামৰ মানুহ,NOT
2429,2430,"তোমাৰ সকলো ভিডিওয়ে ভাল লাগে, কিন্তু এইটো ভিডিও সকলোতকৈ বেছি ভাল লাগিছে ভাই",NOT
2430,2431,আমাৰ লেজেন্ড জুবিন দাক ইমান মৰম দিয়াৰ বাবে💟,NOT
2432,2433,বৰ উঠি আছে।,HOF
2433,2434,সমুজ্বল থকালৈকে আছু থাকিব আৰু এদিন পাহাৰৰ গহ্বৰত হেৰাই যাব যেন অনুমান হয়।,HOF
2434,2435,কাম বন নাই,HOF
2435,2436,বুঢ়া গৰু কুমলীয়া ঘাঁহ লাগে ন ?,NOT
2436,2437,"বিহুকে শিকাওক পাৰিলে, এইয়া কেইদিনমানৰ পাছত নচলে",HOF
2437,2438,এইবিলাক দি থাকিলে চেনেলটো ব্লক কৰি দিম।,HOF
2438,2439,তই গেদাই হিন্দু নাম লিখি গেদামী কৰি আছা।,HOF
2439,2440,"হিন্দুৰ দেবী দুৰ্গাক মই মানু কাৰন তেঁও নাৰী,",NOT
2440,2441,গেদা গেদি এইবোৰ শব্দ সেই পূৰ্ব বঙ্গীয় মিয়া কেইটাই ব্যৱহাৰ কৰে আৰু তাৰ পৰাই উৎপত্তি।,HOF
2442,2443,"ৰুবুল দা আপোনাৰ নিচিনা মানুহ আমাৰ সমাজত বৰ প্ৰয়োজন হৈ পৰিছে ,",NOT
2444,2445,"সেইটো তেতিয়া he গম পাবি, যেতিয়া সাংবাদিক জনে জোৰ dexabo",HOF
2445,2446,তোৰ ঘৰত খূলি ল মিউজিয়াম,NOT
2446,2447,আপুনি বা কোনটো পুখুৰীৰ মাছ ?,NOT
2447,2448,যিটো হে জাপ দিলা ও বাইদেউ ভাল লাগিল চাই,HOF
2448,2449,বন্ধু কেইটা চাকৰি হৈ লেবেল ফালি আছে ৰ মছলা ওলাম এতিয়া,HOF
2449,2450,গতিকে তাৰ বেৱ্যস্থা সোনকালে কৰাৰ এটা ৰাষ্টাহে বিচাৰিব লাগে ।,HOF
2451,2452,সপোন দেখে বৃহত্ত্বৰ অসম গঢ়াৰ------।বৃহত্ত্বৰ অসম নে বৃহত্ত্বৰ বাংলা ???,HOF
2453,2454,তাই মূৰটো গোটা কৈ সিজাই দি দিয়ক,HOF
2454,2455,ভূৱা যদি যোনে উলিয়াইছে তেওঁৰ বিপক্ষে কেচ দিয়ক ।,HOF
2456,2457,সেয়েহি ২৪ তাৰিখলৈ এতিয়াও বহু সময় চৰকাৰৰ হাতত আছে উৎচ্ছেদ কৰিবলৈ৷,NOT
2457,2458,তোৰ আমনি লগাই নাই কল্পনা সাগত সপোন দেখি😀😀,NOT
2459,2460,পাগলে নকয় কি ছাগলীয়ে নেখায় কি,NOT
2460,2461,আচৰিত লাগিছে,NOT
2461,2462,"এই জহিনী জনী   কেনেকুৱা মন্তব্য দাঙি ধৰিলে ,,,",HOF
2463,2464,ইয়াৰ লিংগৰ প্ৰষ্ঠছেদন কৰি দিব লাগে।,HOF
2464,2465,সকলোৱেই কব যে শিৱসাগৰতে হব লাগে।কাৰণ শিৱসাগৰ টাউন হৈছে শিৱসাগৰ জিলাৰ কেন্দ্ৰবিন্দু।,HOF
2466,2467,কেলা আগতে পাতি লোৱা দাদা পাতিবো ।,HOF
2467,2468,মই বিয়া পতাই নাই নতি ।।,NOT
2468,2469,বাল চাম তাৰ ভিডিঅ,HOF
2469,2470,কিন্তু যতীন দাক ভাল পাওঁ আজিও,NOT
2471,2472,কাপোৰ কিয় পিন্দিচে,NOT
2473,2474,সৌভিক মোৰ লগত একে লগে পঢ়া একে খন স্কুল একে খন বেঞ্চ আৰু একে কেইটা subjects কিন্তু বোৰ দেখি তাক দেখিলে মাথা গৰম হৈ যায়,HOF
2475,2476,আৰু তহঁতে কিবা খাবলৈ নাযাৱ নেকি হা🙄🙄,NOT
2476,2477,কেলা আহিবি কান্তলিয়া চৰ মাৰিম,HOF
2477,2478,কলগছ নাই কাৰণে বিচাৰি ঘূৰি ফুটিছে..... চিয়াৰ ফুটিছে,HOF
2478,2479,"আপুনি যুঁজি যাওঁক, প্ৰতিবাদ কৰি যাওঁক সমাজৰ অন্যায়ৰ বিৰুদ্ধে। আমি আপোনাৰ লগত যুঁজি যাম সদায় ।",NOT
2479,2480,বান্দৰ খেদিব নোৱাৰা জাতিয়ে বাংলাদেশী কেনেকৈ খেদিব,HOF
2480,2481,আকৌ😄,NOT
2481,2482,তুমাৰ ভিদিঅ ছাই বহুত ভাল লাগে,NOT
2482,2483,অসম বাসীক কিয় দেখুবোচ এই বোৰক ৰেনদী বজাৰত এৰি দিয়ক,HOF
2483,2484,"সেইকাৰণে মইনাহঁত,,,, এই পেৰেম নে চেৰেম,,, বাদ দিয়া, নিজকে প্ৰতিষ্ঠিত কৰিব পৰাকৈ কিবা এটা কৰা,,,,বাইকৰ পকৰত উঠিবলৈ চিন্তা নকৰিবা, নিজৰ উপাৰ্জনৰ টকাৰে কাম কৰাৰ কথা ভাবা,",NOT
2484,2485,সৰু‌ ছোৱালী কাপোৰ পিন্ধিব জনা হোৱা নাই।,NOT
2485,2486,ইমান টেলেনট,HOF
2486,2487,এই চুদৰ ভাইটো ক কাটি টুকুৰা টুকুৰ কৰিব লগে,HOF
2487,2488,অসমত থাকি অসমীয়া লিখিবলে নিখিকিলে,NOT
2488,2489,একাংশ উগ্ৰ অসমীয়াৰ চিন্তা ৷,HOF
2489,2490,গৰুৰ মাংস দেখা পাব কিছু গবৰ খোৱা লোকে,HOF
2491,2492,"জীৱনত প্ৰত্যেকৰেই সামান্য ভুলৰ স্বাভাৱিক হয়, ",NOT
2493,2494,অসমৰ লৰা আগ বাঢ়ি যোৱা,NOT
